Date,price,open,high,low,change_pct
12/31/2022,16537.4,16607.2,16635.9,16487.3,-0.0042
12/30/2022,16607.2,16636.4,16644.4,16360,-0.0018
12/29/2022,16636.4,16546.2,16659.1,16496.6,0.0055
12/28/2022,16546.2,16705.9,16781.1,16474.2,-0.0096
12/27/2022,16706.1,16918.2,16964,16610.1,-0.0125
12/26/2022,16918.1,16831.8,16936.1,16799.4,0.0051
12/25/2022,16831.8,16835.7,16852.9,16733,-0.0003
12/24/2022,16837.2,16778.6,16855.8,16777.8,0.0035
12/23/2022,16779.1,16820.5,16910.7,16768,-0.0025
12/22/2022,16820.6,16831.8,16862.2,16566.1,-0.0007
12/21/2022,16831.8,16902.7,16919.4,16735,-0.0042
12/20/2022,16902.8,16441.3,17031.3,16400.7,0.0281
12/19/2022,16441.3,16741.1,16809.5,16331.2,-0.0179
12/18/2022,16741.1,16777,16825.7,16666.5,-0.0021
12/17/2022,16777.1,16629,16794.4,16587,0.0089
12/16/2022,16629.6,17356.7,17518.5,16542.4,-0.0419
12/15/2022,17356.1,17796.4,17846.1,17298.2,-0.0247
12/14/2022,17796.4,17778.6,18351.8,17682.1,0.001
12/13/2022,17778.6,17210.9,17951.6,17094.5,0.033
12/12/2022,17210.4,17093.2,17232.5,16878.5,0.0068
12/11/2022,17093.3,17127,17262.9,17080.6,-0.002
12/10/2022,17127.2,17125.7,17220.5,17105.7,0.0001
12/9/2022,17125.7,17225.6,17288.6,17082.1,-0.0058
12/8/2022,17225.7,16835.2,17294.2,16765.8,0.0232
12/7/2022,16835.2,17089.4,17126.7,16715.3,-0.0149
12/6/2022,17089.3,16966.3,17101.1,16914.9,0.0072
12/5/2022,16966.5,17106.9,17395.2,16886.9,-0.0085
12/4/2022,17112.6,16884.8,17198.1,16881.6,0.0135
12/3/2022,16884.5,17093.4,17132.6,16862.1,-0.0122
12/2/2022,17093.6,16972.2,17096.2,16799.9,0.0072
12/1/2022,16972,17163.4,17244.7,16868.9,-0.0112
11/30/2022,17163.9,16440.8,17215.5,16433.2,0.044
11/29/2022,16440.4,16211.9,16531.4,16100.1,0.0141
11/28/2022,16211.7,16426.1,16481.4,16013.5,-0.013
11/27/2022,16425.6,16456.4,16595.4,16414.6,-0.0019
11/26/2022,16456.5,16512.3,16686.3,16387.9,-0.0034
11/25/2022,16512.3,16600.6,16611.8,16360.9,-0.0054
11/24/2022,16601.2,16604.9,16785.6,16472,-0.0014
11/23/2022,16623.9,16216.9,16677.6,16162.3,0.0253
11/22/2022,16212.9,15776.6,16274.6,15620.4,0.0277
11/21/2022,15776.2,16278.6,16287.9,15504.2,-0.0313
11/20/2022,16286.7,16699.3,16749.3,16209.2,-0.0247
11/19/2022,16699.2,16652.2,16814.9,16608.9,0.0037
11/18/2022,16638.3,16715.4,16846.3,16553,-0.0032
11/17/2022,16691.2,16540.5,16739.7,16425.8,0.0091
11/16/2022,16540.5,16895.4,16993.4,16408.2,-0.021
11/15/2022,16895.1,16615,17112,16543.9,0.0169
11/14/2022,16613.7,16325,17158.4,15834,0.0177
11/13/2022,16324.5,16803.9,16946.5,16274.9,-0.028
11/12/2022,16795.2,17049.9,17100.8,16633.9,-0.0149
11/11/2022,17049.9,17589.1,17679.4,16435.5,-0.0307
11/10/2022,17589.1,15887,18138.2,15799.3,0.1071
11/9/2022,15886.9,18538.9,18583.8,15603.3,-0.1425
11/8/2022,18527.4,20589,20667.5,17260,-0.1001
11/7/2022,20589,20916.3,21055.4,20410.5,-0.0156
11/6/2022,20916.3,21298.7,21360.4,20901,-0.0181
11/5/2022,21301.6,21145.7,21464.7,21084.1,0.0074
11/4/2022,21145.9,20206.4,21281.9,20184.6,0.0465
11/3/2022,20206.4,20154,20384.5,20066.6,0.0026
11/2/2022,20154.4,20482.9,20778.3,20065.8,-0.0161
11/1/2022,20483.5,20496.1,20676.6,20348.1,-0.0006
10/31/2022,20496.3,20626,20822.4,20260,-0.0063
10/30/2022,20626.3,20809.4,20922.3,20522.5,-0.0088
10/29/2022,20809.8,20594.2,21038.1,20561.9,0.0105
10/28/2022,20594.4,20293,20744,20058.2,0.0149
10/27/2022,20292.9,20769.5,20867.9,20231.6,-0.0229
10/26/2022,20769.5,20086.8,20981.5,20062.9,0.0342
10/25/2022,20082.7,19331.8,20406.9,19249,0.0389
10/24/2022,19331.5,19571.2,19588.6,19177.2,-0.0122
10/23/2022,19571.2,19204.8,19680.9,19092.5,0.0191
10/22/2022,19204.8,19162.6,19249.9,19116.1,0.0022
10/21/2022,19162.6,19042.9,19245.5,18703.3,0.0063
10/20/2022,19042.9,19125.1,19334.5,18935.6,-0.0042
10/19/2022,19123.9,19328.2,19358.6,19101.2,-0.0106
10/18/2022,19328.2,19548.4,19692.9,19102.8,-0.0113
10/17/2022,19548.2,19262.2,19663.5,19163.6,0.0149
10/16/2022,19261.9,19068.8,19411.9,19066,0.0101
10/15/2022,19068.7,19181.7,19218.7,19000.8,-0.0059
10/14/2022,19181.8,19379.8,19933.9,19098.6,-0.0102
10/13/2022,19379.8,19154.6,19494.4,18207.9,0.0117
10/12/2022,19154.8,19058.5,19212.6,19010.6,0.005
10/11/2022,19059.1,19134.3,19261.3,18868.7,-0.0039
10/10/2022,19134.6,19441.7,19520.7,19057,-0.0158
10/9/2022,19441,19416.3,19552.1,19329.6,0.0013
10/8/2022,19415,19530.2,19612.2,19274.7,-0.006
10/7/2022,19531.3,19962.4,20051.4,19352.1,-0.0213
10/6/2022,19956.7,20157.5,20436.7,19873.7,-0.01
10/5/2022,20157.5,20340.5,20353.8,19761.7,-0.009
10/4/2022,20340.2,19629.7,20436.1,19506.4,0.0363
10/3/2022,19628.3,19057.6,19676,19001.3,0.0302
10/2/2022,19052.2,19311.9,19389.9,18937.3,-0.0134
10/1/2022,19311.9,19422.9,19480.3,19172.6,-0.0057
9/30/2022,19423,19593.4,20174.9,19208.9,-0.0087
9/29/2022,19593,19420.2,19631.5,18877.9,0.0094
9/28/2022,19411,19083.4,19757.8,18505.3,0.0173
9/27/2022,19081,19228.8,20361.2,18850.4,-0.0075
9/26/2022,19225.7,18803.1,19304.8,18695.2,0.0225
9/25/2022,18803.2,18925.1,19125.1,18659.6,-0.0064
9/24/2022,18925.2,19288.4,19310.6,18812,-0.0191
9/23/2022,19293.5,19404.1,19477.3,18554.8,-0.0057
9/22/2022,19404,18488.1,19490.9,18371,0.0495
9/21/2022,18489,18875.1,19758.4,18191.8,-0.0203
9/20/2022,18872.4,19538.9,19626.3,18742.6,-0.0341
9/19/2022,19538.9,19417.4,19666.6,18277.8,0.0062
9/18/2022,19418.8,20113.9,20113.9,19347.7,-0.0345
